7373,-3964,1059,-883,40,-8,0
212,-3787,93,-51,1994,-358,0
214,-3693,93,-120,779,-38,0
179,-4351,126,-258,793,-219,0
181,-4168,126,-274,456,-1038,0
181,-4168,126,-274,468,-246,0
207,-4298,1130,-327,38,-38,0
207,-4726,126,-327,1327,-38,0
196,-4526,126,-327,968,-38,0
211,-4616,126,-343,722,-38,0
203,-4753,650,-327,38,-38,0
206,-4360,126,-327,903,-38,0
205,-4356,1146,-327,38,-38,0
209,-4183,3828,-585,2424,-316,0
201,-3932,126,-327,1261,-38,0
204,-3932,126,-327,453,-38,0
179,-4351,126,-258,965,-405,0
203,-4525,531,-8393,434,-1448,0
201,-3921,126,-226,1158,-318,0
201,-3921,126,-226,918,-308,0
203,-4525,538,-4010,426,-1448,0
179,-4351,126,-258,758,-311,0
201,-3921,126,-226,2321,-318,0
312,-20,252,-20,387,-20,0
179,-4351,126,-258,758,-311,0
201,-3921,937,-53435,2339,-238,0
201,-3921,126,-226,985,-382,0
199,-4199,1206,-327,38,-38,0
195,-4199,511,-327,38,-38,0
182,-4168,126,-274,498,-242,0
199,-4632,118,-266,496,-1360,0
207,-4183,2487,-890,2564,-624,0
201,-3959,1117,-7527,1090,-692,0
205,-3932,592,-327,38,-38,0
201,-3959,2535,-549,2649,-379,0
517,-147,1982,-32651,1859,-660,0
292,-20,240,-20,274,-20,0
183,-4351,126,-258,556,-311,0
208,-4183,1476,-3476,1310,-839,0
517,-148,1425,-7228,1380,-1104,0
203,-4298,543,-327,38,-38,0
517,-148,1424,-1001,1380,-1098,0
1268,-5127,1268,-4411,1268,-1193,0
1262,-8716,1268,-7620,1268,-1448,0
1268,-29009,1268,-8555,1268,-1193,0
1317,-12587,1317,-13615,1318,-1448,0
1317,-13020,1318,-11294,1336,-1448,0
1317,-14267,1318,-11620,1316,-1448,0
1321,-3587,1345,-77626,1344,-1448,0
1318,-11213,1345,-89279,1344,-1448,0
1366,-129327,1316,-30911,1344,-1448,0
183,-3166,93,-274,328,-411,0
178,-3129,126,-258,822,-1039,0
183,-3166,93,-274,989,-172,0
517,-4525,126,-258,401,-1448,0
206,-4183,2339,-804,941,-350,0
517,-146,802,-69,38,-38,0
517,-146,537,-69,38,-38,0
508,-20,514,-20,614,-20,0
257,-5734,747,-120,38,-38,0
204,-6359,93,-120,519,-1448,0
208,-5671,214,-107,14111,-725,0
201,-3181,93,-274,925,-172,0
213,-5638,214,-107,693,-437,0
183,-3166,93,-274,8196,-172,0
504,-224,496,-15041,496,-1440,0
370,-3129,126,-258,742,-302,0
212,-3787,93,-51,2340,-358,0
517,-146,1630,-69,38,-38,0
517,-148,2419,-374,2424,-316,0
201,-2840,1070,-311,38,-1448,0
205,-3082,993,-327,30,-30,0
517,-146,622,-69,38,-561,0
204,-3082,1009,-311,3116,-38,0
206,-3082,947,-327,1380,-30,0
207,-3082,390,-327,30,-30,0
200,-3959,924,-10768,1259,-328,0
201,-2840,849,-311,30,-30,0
209,-3082,602,-357,30,-1448,0
200,-4357,1152,-794,944,-666,0
517,-4357,1127,-608,925,-485,0
517,-4357,1046,-685,844,-425,0
203,-4146,126,-258,532,-1428,0
191,-4146,126,-274,603,-275,0
202,-4146,126,-258,434,-448,0
517,-4146,126,-258,434,-448,0
230,-5230,126,-290,455,-1448,0
517,-4146,126,-258,1705,-424,0
517,-4146,126,-258,1933,-424,0
517,-4146,126,-258,1670,-425,0
517,-152,506,-284027,455,-1448,0
517,-152,506,-412783,455,-1448,0
209,-4146,126,-274,498,-1428,0
517,-152,506,-410176,455,-1448,0
97,-41,97,-41,97,-41,0
517,-152,506,-403136,455,-1448,0
517,-152,506,-374775,455,-1448,0
517,-152,506,-470166,455,-1448,0
517,-152,506,-265197,455,-1448,0
517,-4146,126,-274,498,-1428,0
230,-5230,126,-290,455,-1448,0
517,-4146,126,-258,532,-1428,0
517,-152,506,-455419,455,-1448,0
517,-152,506,-394546,455,-1448,0
517,-152,506,-374925,455,-1448,0
517,-4146,126,-274,498,-1428,0
517,-4146,126,-258,532,-1428,0
517,-152,506,-296533,455,-1448,0
517,-4146,126,-258,532,-1428,0
230,-5230,126,-290,680,-1448,0
517,-4146,126,-258,3944,-425,0
517,-4146,126,-258,1722,-425,0
79,-35,427,-10957,76,-1440,0
536,-94,536,-94,536,-94,0
199,-3082,1270,-594,30,-38,0
212,-3787,93,-51,6477,-360,0
178,-3129,126,-258,1030,-310,0
183,-3166,93,-274,328,-411,0
178,-3129,126,-258,807,-212,0
517,-3082,542,-357,30,-1448,0
183,-3166,93,-274,328,-411,0
183,-3166,93,-274,591,-172,0
182,-3100,93,-226,238,-1429,0
201,-3181,93,-274,328,-411,0
370,-3129,126,-258,807,-212,0
517,-4357,1042,-642,916,-384,0
517,-4357,4487,-610,916,-31,0
517,-4357,1042,-642,916,-384,0
536,-94,536,-94,536,-94,0
517,-146,1862,-69,38,-38,0
369,-3129,126,-258,1434,-295,0
201,-3181,93,-274,328,-411,0
370,-3129,126,-258,820,-217,0
517,-4357,1042,-642,916,-384,0
257,-5734,747,-120,38,-38,0
170,-4507,93,-51,744,-950,0
197,-4212,126,-51,1237,-385,0
517,-4298,1259,-327,38,-38,0
517,-4199,126,-327,1943,-38,0
208,-4192,126,-258,1565,-190,0
1286,-3084,1280,-4080,1280,-422,0
1280,-4284,1280,-4224,1280,-421,0
1280,-2096,1280,-6272,1280,-421,0
1280,-2762,1280,-3625,1280,-421,0
1280,-4330,1280,-3013,1280,-421,0
202,-4109,126,-327,657,-38,0
670,-20,751,-20,759,-20,0
517,-148,1494,-2170,2361,-316,0
212,-4183,118,-266,1567,-1360,0
201,-4183,118,-266,626,-485,0
517,-148,2622,-624,2683,-624,0
192,-5644,214,-107,17727,-85,0
517,-148,2603,-624,2778,-624,0
517,-147,944,-41471,1949,-650,0
517,-146,51,-69,1891,-38,0
192,-5644,214,-107,17343,-85,0
223,-5484,93,-51,2461,-427,0
212,-3787,93,-51,9810,-360,0
223,-5484,93,-51,2274,-54,0
223,-5484,93,-51,4431,-427,0
201,-3932,126,-327,884,-38,0
201,-3921,948,-804,832,-480,0
517,-147,2006,-650,1170,-1284,0
201,-3921,941,-807,827,-570,0
517,-147,1235,-813,1225,-825,0
517,-147,1296,-26251,1612,-833,0
517,-147,1673,-836,1643,-1141,0
517,-147,2047,-27642,1749,-678,0
517,-148,2412,-316,2369,-316,0
313,-20,350,-20,319,-20,0
702,-1348,724,-244589,748,-342,0
699,-5124,723,-77988,751,-344,0
703,-641,731,-27991,755,-342,0
344,-3466,340,-256,422,-371,0
181,-2890,126,-258,810,-628,0
536,-3466,510,-1041,574,-371,0
517,-148,2412,-316,2369,-316,0
275,-1186,275,-1186,275,-1186,0
180,-2890,126,-258,1026,-1448,0
180,-2890,126,-258,938,-1448,0
180,-2890,126,-258,953,-1448,0
178,-2890,126,-258,927,-401,0
180,-2890,126,-258,953,-1448,0
207,-2890,126,-258,311,-1190,0
372,-105,1043,-2771,1174,-383,0
199,-5714,126,-242,303,-708,0
372,-105,1209,-336,1121,-190,0
206,-4360,126,-327,1891,-38,0
372,-105,1073,-331,1036,-307,0
372,-105,1088,-2828,1174,-383,0
180,-6126,126,-242,150,-931,0
517,-148,2412,-316,2369,-316,0
517,-4298,1289,-365,347,-161,0
387,-3466,383,-256,447,-371,0
373,-105,906,-545,1318,-1072,0
208,-2890,126,-258,312,-333,0
517,-5714,126,-242,303,-708,0
517,-147,1369,-626,1318,-626,0
183,-3166,93,-274,6944,-172,0
517,-147,1313,-1368,1262,-1368,0
369,-3299,126,-258,1124,-267,0
387,-3466,383,-256,447,-371,0
517,-148,2412,-316,2369,-316,0
373,-105,955,-629,1367,-1068,0
373,-105,1030,-1663,1153,-909,0
180,-2890,126,-258,1636,-1448,0
180,-2890,126,-258,1628,-1448,0
180,-2890,126,-258,1631,-1448,0
180,-2890,126,-258,1620,-1448,0
180,-2890,126,-258,1623,-1448,0
180,-2890,126,-258,1618,-1448,0
936,-1227,1499,-9332,1023,-339,0
